"","raw_read_pairs","trimmed_read_pairs","genome_mapped_read_pairs","transcriptome_mapped_read_pairs"
"Astrocyte1",29622912,26737567,26257148,22046267
"Astrocyte2",32018822,29204451,28739767,23488336
"Neuron1",37893137,31410256,30663086,23600219
"Neuron2",33941791,26520300,25991046,21840593
"OPC1",32231738,29207465,28419860,24378107
"OPC2",32487764,28759109,27470649,24601453
"NFO1",32132363,28196373,27756689,25020382
"NFO2",30547495,26877201,25998898,23795107
"MO1",33438809,28642050,27878611,26774850
"MO2",29732990,26283333,25304254,23724408
"Microglia1",29172869,26015673,25512694,24047916
"Microglia2",30007340,22950062,22350981,21278097
"Endothelial1",36538349,29905886,29255395,27360400
"Endothelial2",33791793,28046087,27630521,25937994
"WC1",31763152,28858275,28428356,25176936
"WC2",31073094,28319921,27906281,24876987
"WC3",30172824,27545065,27128332,23693016
