"","Internal","External","Astrocyte","Neuron","OPC","NFO","MO","Microglia","Endothelial","WC","Group","Tissue"
"Astrocyte1","SRS504825","Astrocyte1","yes","no","no","no","no","no","no","no","Astrocyte","cerebral_cortex"
"Astrocyte2","SRS504826","Astrocyte2","yes","no","no","no","no","no","no","no","Astrocyte","cerebral_cortex"
"Neuron1","SRS504827","Neuron1","no","yes","no","no","no","no","no","no","Neuron","cerebral_cortex"
"Neuron2","SRS504828","Neuron2","no","yes","no","no","no","no","no","no","Neuron","cerebral_cortex"
"OPC1","SRS504829","OPC1","no","no","yes","no","no","no","no","no","OPC","cerebral_cortex"
"OPC2","SRS504830","OPC2","no","no","yes","no","no","no","no","no","OPC","cerebral_cortex"
"NFO1","SRS504831","NFO1","no","no","no","yes","no","no","no","no","NFO","cerebral_cortex"
"NFO2","SRS504832","NFO2","no","no","no","yes","no","no","no","no","NFO","cerebral_cortex"
"MO1","SRS504833","MO1","no","no","no","no","yes","no","no","no","MO","cerebral_cortex"
"MO2","SRS504834","MO2","no","no","no","no","yes","no","no","no","MO","cerebral_cortex"
"Microglia1","SRS504835","Microglia1","no","no","no","no","no","yes","no","no","Microglia","cerebral_cortex"
"Microglia2","SRS504836","Microglia2","no","no","no","no","no","yes","no","no","Microglia","cerebral_cortex"
"Endothelial1","SRS504837","Endothelial1","no","no","no","no","no","no","yes","no","Endothelial","cerebral_cortex"
"Endothelial2","SRS504838","Endothelial2","no","no","no","no","no","no","yes","no","Endothelial","cerebral_cortex"
"WC1","SRS504839","WC1","no","no","no","no","no","no","no","yes","WC","whole_cortex"
"WC2","SRS504840","WC2","no","no","no","no","no","no","no","yes","WC","whole_cortex"
"WC3","SRS504841","WC3","no","no","no","no","no","no","no","yes","WC","whole_cortex"
